,country,country_code,area,OID
0,Algeria,DZA,2713620.69,5
1,Algeria,DZA,910970.4997,6
2,Algeria,DZA,3.00E+12,7
3,Andorra,AND,862536990.4,10
4,Austria,AUT,1.85E+11,33
5,Portugal,PRT,3856637797,36
6,Belgium,BEL,75972970787,50
7,Benin,BEN,2260052.332,54
8,Benin,BEN,4724210.431,55
9,Benin,BEN,1.19E+11,56
10,Bosnia and Herzegovina,BIH,99602225777,62
11,Burkina Faso,BFA,2.89E+11,80
12,Cabo Verde,CPV,866653.9451,82
13,Cabo Verde,CPV,910447461.5,83
14,Cabo Verde,CPV,684895034.9,84
15,Cabo Verde,CPV,2855016976,85
16,Cameroon,CMR,9117251.973,89
17,Cameroon,CMR,723444733.8,90
18,Cameroon,CMR,4.73E+11,91
19,Canada,CAN,9225279493,92
20,Canada,CAN,2.59E+11,93
21,Canada,CAN,6.13E+11,94
22,Canada,CAN,1.18E+12,95
23,Canada,CAN,4.91E+13,96
24,Spain,ESP,8836813909,97
25,Central African Republic,CAF,6.33E+11,100
26,Chad,TCD,1.38E+12,101
27,Congo,COG,3.45E+11,127
28,Côte d'Ivoire,CIV,5409861.268,133
29,Côte d'Ivoire,CIV,70082704.21,134
30,Côte d'Ivoire,CIV,3.29E+11,135
31,Croatia,HRV,88741818.24,136
32,Croatia,HRV,4753580613,137
33,Croatia,HRV,976519086.1,138
34,Croatia,HRV,1.08E+11,139
35,Spain,ESP,980216.1631,146
36,Spain,ESP,893454871.1,147
37,Denmark,DNK,39392568.08,153
38,Denmark,DNK,5336210481,154
39,Denmark,DNK,17506592279,155
40,Denmark,DNK,1.16E+11,156
41,Equatorial Guinea,GNQ,2263141.704,177
42,Equatorial Guinea,GNQ,26955165615,179
43,Denmark,FRO,926411.3603,193
44,Denmark,FRO,4715736041,194
45,Denmark,FRO,1713922589,195
46,France,FRA,66985412.41,204
47,France,FRA,1222886361,205
48,France,FRA,1.16E+12,206
49,Gambia,GMB,770174.9309,221
50,Gambia,GMB,17290805.26,222
51,Gambia,GMB,11283169346,223
52,Germany,DEU,10062462.22,227
53,Germany,DEU,1874942197,228
54,Germany,DEU,9.03E+11,230
55,Ghana,GHA,5716298.944,231
56,Ghana,GHA,26101672.02,232
57,Ghana,GHA,2.45E+11,233
58,United Kingdom,GBR,10151264.24,234
